"org_id","cluster_id","node_name","name","read_iops","write_iops","read_throughput","write_throughput","size","ts"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-0",120,0,5904468.736568708,0,2087714816,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-1",4,18,213888.423099687,3373061.2256945223,8581545984,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","md0",5,28,267876.74181003886,3374202.7697468554,8579448832,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda",216,76826,12979632.867336562,827246148.0729746,21474836480,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda1",83,76826,6211837.866365719,827245476.5764734,17018371584,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda10",0,0,109.11818147303708,0,512,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda11",4,0,23032.32999707798,0,8388608,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda12",3,0,50563.68655335195,0,33554432,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda2",4,0,70171.38439343,0,16777216,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda3",106,0,6278425.138183073,0,2147483648,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda4",4,0,70171.38439343,0,16777216,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda5",6,0,233412.18387709346,0,2147483648,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda6",0,0,109.11818147303708,0,512,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda7",0,0,109.11818147303708,0,512,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda8",1,0,21168.927205769192,0,16777216,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda9",0,0,109.11818147303708,0,512,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdb",13,57,329234.73462295433,120911405.92804238,402653184000,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdc",13,53,329234.73462295433,120890723.8358001,402653184000,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdd",3,6,165826.06101394774,1688545.1023513786,4294967296,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sde",3,5,156274.0232819234,1685791.9666957513,4294967296,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdf",6,1,277747.74038021517,2278496.747338487,4294967296,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdg",6,0,144640.3463956442,1108615.5426472554,4294967296,"2025-09-02 11:21:57.489"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-0",120,0,5904250.515194407,0,2087714816,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-1",4,18,213880.51806576803,3372936.5618019495,8581545984,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","md0",5,28,267866.84143909113,3374078.063664321,8579448832,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda",216,76772,12979153.157230774,826717188.9146082,21474836480,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda1",83,76772,6211608.285033915,826716517.4429244,17018371584,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda10",0,0,109.11414860901752,0,512,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda11",4,0,23031.478752549545,0,8388608,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda12",3,0,50561.81778620935,0,33554432,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda2",4,0,70168.7909516451,0,16777216,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda3",106,0,6278193.095873556,0,2147483648,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda4",4,0,70168.7909516451,0,16777216,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda5",6,0,233403.55727073533,0,2147483648,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda6",0,0,109.11414860901752,0,512,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda7",0,0,109.11414860901752,0,512,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda8",1,0,21168.1448301494,0,16777216,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda9",0,0,109.11414860901752,0,512,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdb",13,57,329222.5665415464,120906937.20200664,402653184000,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdc",13,53,329222.5665415464,120886255.8741472,402653184000,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdd",3,6,165819.93230151923,1688482.6959522183,4294967296,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sde",3,5,156268.24760020679,1685729.6620488523,4294967296,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdf",6,1,277737.47519018385,2278412.537104895,4294967296,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdg",6,0,144635.00067927616,1108574.5696794775,4294967296,"2025-09-02 11:20:57.491"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda10",0,0,109.11323830764535,0,512,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda1",83,76718,6211556.463747516,826196007.0676258,17018371584,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-0",120,0,5904201.258086926,0,2087714816,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-1",4,18,213878.7337350322,3372908.4225659333,8581545984,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","md0",5,28,267864.60671924567,3374049.914905152,8579448832,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda11",4,0,23031.286608936833,0,8388608,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda",216,76718,12979044.876672486,826196678.5337077,21474836480,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda12",3,0,50561.39596655812,0,33554432,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda9",0,0,109.11323830764535,0,512,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda6",0,0,109.11323830764535,0,512,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda4",4,0,70168.20555783962,0,16777216,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda3",106,0,6278140.719093251,0,2147483648,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda7",0,0,109.11323830764535,0,512,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda2",4,0,70168.20555783962,0,16777216,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda8",1,0,21167.968231683197,0,16777216,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda5",6,0,233401.61006607706,0,2147483648,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdc",13,53,329219.819952237,120885247.3621806,402653184000,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdb",13,57,329219.819952237,120905928.5175029,402653184000,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sde",3,5,156266.94390859545,1685715.598592884,4294967296,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdg",6,0,144633.79403979573,1108565.3212276057,4294967296,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdd",3,6,165818.54892352625,1688468.609528646,4294967296,"2025-09-02 11:19:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdf",6,1,277735.15812307573,2278393.5291019427,4294967296,"2025-09-02 11:19:57.490"
